"","CpG_chr","CpG_start","CpG_stop","ICR_chr","ICR_start","ICR_stop","CpG_Probe","ICR_id"
"1850","chr8",1548871,1548872,"chr8",1548799,1548981,"cg12065878_BO11","ICR_506"
"1851","chr8",1548887,1548888,"chr8",1548799,1548981,"cg12065880_TC11","ICR_506"
"1852","chr8",1548917,1548918,"chr8",1548799,1548981,"cg12065882_TC11","ICR_506"
"1853","chr8",1548917,1548918,"chr8",1548799,1548981,"cg12065882_TC12","ICR_506"
"1854","chr8",1548937,1548938,"chr8",1548799,1548981,"cg12065883_TC11","ICR_506"
"1855","chr8",1548962,1548963,"chr8",1548799,1548981,"cg12065886_TO11","ICR_506"
"1856","chr8",1548967,1548968,"chr8",1548799,1548981,"cg12065887_TO11","ICR_506"
"1857","chr8",1548969,1548970,"chr8",1548799,1548981,"cg12065888_TO11","ICR_506"
"1858","chr8",1548971,1548972,"chr8",1548799,1548981,"cg12065889_BO11","ICR_506"
"1859","chr8",1548980,1548981,"chr8",1548799,1548981,"cg12065891_BC11","ICR_506"
"1860","chr8",1816644,1816645,"chr8",1816611,1816668,"cg12071152_BC11","ICR_507"
"1861","chr8",1816652,1816653,"chr8",1816611,1816668,"cg12071153_TC11","ICR_507"
"1862","chr8",1816657,1816658,"chr8",1816611,1816668,"cg12071154_TC11","ICR_507"
"1863","chr8",2727636,2727637,"chr8",2727636,2727760,"cg12085548_BO11","ICR_508"
"1864","chr8",2727666,2727667,"chr8",2727636,2727760,"cg12085549_BO11","ICR_508"
"1865","chr8",2727694,2727695,"chr8",2727636,2727760,"cg12085550_TC21","ICR_508"
"1866","chr8",2727701,2727702,"chr8",2727636,2727760,"cg12085551_TC21","ICR_508"
"1867","chr8",2727711,2727712,"chr8",2727636,2727760,"cg12085553_BC11","ICR_508"
"1868","chr8",2727720,2727721,"chr8",2727636,2727760,"cg12085554_BC11","ICR_508"
"1869","chr8",2727733,2727734,"chr8",2727636,2727760,"cg12085555_TC11","ICR_508"
"1870","chr8",2727735,2727736,"chr8",2727636,2727760,"cg12085556_TC21","ICR_508"
"1871","chr8",6835990,6835991,"chr8",6835990,6836189,"cg12130170_BC21","ICR_509"
"1872","chr8",6835997,6835998,"chr8",6835990,6836189,"cg12130171_BC21","ICR_509"
"1873","chr8",6836003,6836004,"chr8",6835990,6836189,"cg12130172_BC11","ICR_509"
"1874","chr8",6836003,6836004,"chr8",6835990,6836189,"cg12130172_BC12","ICR_509"
"1875","chr8",6836017,6836018,"chr8",6835990,6836189,"cg27319216_TC11","ICR_509"
"1876","chr8",6836085,6836086,"chr8",6835990,6836189,"cg12130173_TC21","ICR_509"
"1877","chr8",6836188,6836189,"chr8",6835990,6836189,"cg12130175_TC11","ICR_509"
"1878","chr8",8703089,8703090,"chr8",8703089,8703190,"cg12148821_BC21","ICR_510"
"1879","chr8",8703092,8703093,"chr8",8703089,8703190,"cg12148822_TC21","ICR_510"
"1880","chr8",8703146,8703147,"chr8",8703089,8703190,"cg12148825_TO11","ICR_510"
"1881","chr8",10726533,10726534,"chr8",10726380,10726606,"cg12173816_TO11","ICR_511"
"1882","chr8",10726533,10726534,"chr8",10726380,10726606,"cg12173816_TO12","ICR_511"
"1883","chr8",10726554,10726555,"chr8",10726380,10726606,"cg12173817_BO11","ICR_511"
"1884","chr8",10726599,10726600,"chr8",10726380,10726606,"cg12173820_BC21","ICR_511"
"1885","chr8",10726605,10726606,"chr8",10726380,10726606,"cg12173821_BC21","ICR_511"
"1886","chr8",16944317,16944318,"chr8",16944317,16944618,"cg12233555_BC11","ICR_513"
"1887","chr8",17248324,17248325,"chr8",17248324,17248464,"cg12236475_BC11","ICR_514"
"1888","chr8",22118859,22118860,"chr8",22118859,22119045,"cg12286221_BC21","ICR_515"
"1889","chr8",22118873,22118874,"chr8",22118859,22119045,"cg12286222_BC21","ICR_515"
"1890","chr8",22118913,22118914,"chr8",22118859,22119045,"cg12286224_TC21","ICR_515"
"1891","chr8",22118989,22118990,"chr8",22118859,22119045,"cg12286230_TC21","ICR_515"
"1892","chr8",22118996,22118997,"chr8",22118859,22119045,"cg26344606_BC21","ICR_515"
"1893","chr8",22119044,22119045,"chr8",22118859,22119045,"cg12286232_BO11","ICR_515"
"1894","chr8",22696909,22696910,"chr8",22696909,22697886,"cg12296827_TC21","ICR_516"
"1895","chr8",22696992,22696993,"chr8",22696909,22697886,"cg12296829_BC21","ICR_516"
"1896","chr8",22697103,22697104,"chr8",22696909,22697886,"cg12296830_BC21","ICR_516"
"1897","chr8",22697227,22697228,"chr8",22696909,22697886,"cg12296831_BC21","ICR_516"
"1898","chr8",22697292,22697293,"chr8",22696909,22697886,"cg12296832_BC21","ICR_516"
"1899","chr8",22697313,22697314,"chr8",22696909,22697886,"cg20085265_BC21","ICR_516"
"1900","chr8",22697345,22697346,"chr8",22696909,22697886,"cg12296833_TC21","ICR_516"
"1901","chr8",22697345,22697346,"chr8",22696909,22697886,"cg12296833_TC22","ICR_516"
"1902","chr8",22697385,22697386,"chr8",22696909,22697886,"cg12296834_TC21","ICR_516"
"1903","chr8",22697589,22697590,"chr8",22696909,22697886,"cg12296835_BC21","ICR_516"
"1904","chr8",22697666,22697667,"chr8",22696909,22697886,"cg12296836_BC21","ICR_516"
"1905","chr8",22697666,22697667,"chr8",22696909,22697886,"cg12296836_BC22","ICR_516"
"1906","chr8",22697729,22697730,"chr8",22696909,22697886,"cg22631350_BC21","ICR_516"
"1907","chr8",22697779,22697780,"chr8",22696909,22697886,"cg12296837_BC21","ICR_516"
"1908","chr8",22697885,22697886,"chr8",22696909,22697886,"cg12296838_BC21","ICR_516"
"1909","chr8",27451271,27451272,"chr8",27451271,27451531,"cg12344702_TC21","ICR_517"
"1910","chr8",27451311,27451312,"chr8",27451271,27451531,"cg12344703_BC21","ICR_517"
"1911","chr8",27451363,27451364,"chr8",27451271,27451531,"cg12344705_TC21","ICR_517"
"1912","chr8",27451508,27451509,"chr8",27451271,27451531,"cg12344710_TO11","ICR_517"
"1913","chr8",27451520,27451521,"chr8",27451271,27451531,"cg12344711_BC21","ICR_517"
"1914","chr8",27451530,27451531,"chr8",27451271,27451531,"cg12344712_BC21","ICR_517"
"1915","chr8",27472460,27472461,"chr8",27472460,27472768,"cg12345035_TC21","ICR_518"
"1916","chr8",27472507,27472508,"chr8",27472460,27472768,"cg12345036_BC21","ICR_518"
"1917","chr8",27472646,27472647,"chr8",27472460,27472768,"cg12345038_BC21","ICR_518"
"1918","chr8",27472725,27472726,"chr8",27472460,27472768,"cg12345039_BC21","ICR_518"
"1919","chr8",27472767,27472768,"chr8",27472460,27472768,"cg12345040_TC21","ICR_518"
"1920","chr8",27592885,27592886,"chr8",27592885,27593135,"cg12346424_TC21","ICR_519"
"1921","chr8",27592957,27592958,"chr8",27592885,27593135,"cg12346426_TC11","ICR_519"
"1922","chr8",27592974,27592975,"chr8",27592885,27593135,"cg12346428_BC21","ICR_519"
"1923","chr8",27593066,27593067,"chr8",27592885,27593135,"cg12346429_TC21","ICR_519"
"1924","chr8",27593075,27593076,"chr8",27592885,27593135,"cg12346430_TC21","ICR_519"
"1925","chr8",27593091,27593092,"chr8",27592885,27593135,"cg12346433_TC11","ICR_519"
"1926","chr8",27593134,27593135,"chr8",27592885,27593135,"cg12346434_BC21","ICR_519"
"1927","chr8",29401756,29401757,"chr8",29401756,29402242,"cg12367649_TC21","ICR_520"
"1928","chr8",29401759,29401760,"chr8",29401756,29402242,"cg12367650_TC21","ICR_520"
"1929","chr8",29401765,29401766,"chr8",29401756,29402242,"cg20212861_TC21","ICR_520"
"1930","chr8",29401769,29401770,"chr8",29401756,29402242,"cg12367651_TC11","ICR_520"
"1931","chr8",29402241,29402242,"chr8",29401756,29402242,"cg12367655_BC21","ICR_520"
"1932","chr8",30913087,30913088,"chr8",30913080,30913176,"cg12383314_TO11","ICR_521"
"1933","chr8",30913100,30913101,"chr8",30913080,30913176,"cg22660171_TC21","ICR_521"
"1934","chr8",30913102,30913103,"chr8",30913080,30913176,"cg12383315_TC21","ICR_521"
"1935","chr8",30913110,30913111,"chr8",30913080,30913176,"cg12383316_BC21","ICR_521"
"1936","chr8",30913167,30913168,"chr8",30913080,30913176,"cg12383317_BC21","ICR_521"
"1937","chr8",30913175,30913176,"chr8",30913080,30913176,"cg12383318_TC21","ICR_521"
"1938","chr8",37699368,37699369,"chr8",37699368,37699633,"cg12431580_BC21","ICR_522"
"1939","chr8",37699370,37699371,"chr8",37699368,37699633,"cg12431581_TC21","ICR_522"
"1940","chr8",37699468,37699469,"chr8",37699368,37699633,"cg12431582_BC21","ICR_522"
"1941","chr8",37699468,37699469,"chr8",37699368,37699633,"cg12431582_BC22","ICR_522"
"1942","chr8",37699492,37699493,"chr8",37699368,37699633,"cg12431583_BO11","ICR_522"
"1943","chr8",37699499,37699500,"chr8",37699368,37699633,"cg12431584_TC11","ICR_522"
"1944","chr8",37699544,37699545,"chr8",37699368,37699633,"cg12431586_BC21","ICR_522"
"1945","chr8",37699544,37699545,"chr8",37699368,37699633,"cg12431586_BC22","ICR_522"
"1946","chr8",37699551,37699552,"chr8",37699368,37699633,"cg12431587_BC21","ICR_522"
"1947","chr8",37699565,37699566,"chr8",37699368,37699633,"cg12431588_TC21","ICR_522"
"1948","chr8",37699601,37699602,"chr8",37699368,37699633,"cg12431589_BC21","ICR_522"
"1949","chr8",37699607,37699608,"chr8",37699368,37699633,"cg12431590_TC21","ICR_522"
"1950","chr8",37699615,37699616,"chr8",37699368,37699633,"cg12431591_TC11","ICR_522"
"1951","chr8",37699615,37699616,"chr8",37699368,37699633,"cg12431591_TC12","ICR_522"
"1952","chr8",37747686,37747687,"chr8",37747686,37748265,"cg12432270_TC21","ICR_523"
"1953","chr8",37747765,37747766,"chr8",37747686,37748265,"cg12432271_BC21","ICR_523"
"1954","chr8",37747765,37747766,"chr8",37747686,37748265,"cg12432271_BC22","ICR_523"
"1955","chr8",37747784,37747785,"chr8",37747686,37748265,"cg12432272_TC21","ICR_523"
"1956","chr8",37747834,37747835,"chr8",37747686,37748265,"cg12432273_BC21","ICR_523"
"1957","chr8",37747840,37747841,"chr8",37747686,37748265,"cg11496432_BC21","ICR_523"
"1958","chr8",37747901,37747902,"chr8",37747686,37748265,"cg12432275_BC21","ICR_523"
"1959","chr8",37747937,37747938,"chr8",37747686,37748265,"cg12432277_BC21","ICR_523"
"1960","chr8",37747960,37747961,"chr8",37747686,37748265,"cg12432280_TC21","ICR_523"
"1961","chr8",37747984,37747985,"chr8",37747686,37748265,"cg12432281_TC21","ICR_523"
"1962","chr8",37747998,37747999,"chr8",37747686,37748265,"cg13346869_BC21","ICR_523"
"1963","chr8",37748048,37748049,"chr8",37747686,37748265,"cg12432282_TO11","ICR_523"
"1964","chr8",37748050,37748051,"chr8",37747686,37748265,"cg12432283_TO11","ICR_523"
"1965","chr8",37748053,37748054,"chr8",37747686,37748265,"cg12432284_BO11","ICR_523"
"1966","chr8",37748061,37748062,"chr8",37747686,37748265,"cg12432285_TO11","ICR_523"
"1967","chr8",37748066,37748067,"chr8",37747686,37748265,"cg12432286_TO11","ICR_523"
"1968","chr8",37748070,37748071,"chr8",37747686,37748265,"cg12432287_BO11","ICR_523"
"1969","chr8",37748072,37748073,"chr8",37747686,37748265,"cg12432288_TO11","ICR_523"
"1970","chr8",37748079,37748080,"chr8",37747686,37748265,"cg12432289_BO11","ICR_523"
"1971","chr8",37748092,37748093,"chr8",37747686,37748265,"cg12432290_BO11","ICR_523"
"1972","chr8",37748198,37748199,"chr8",37747686,37748265,"cg21505509_BC21","ICR_523"
"1973","chr8",38383667,38383668,"chr8",38383667,38383854,"cg12441863_TC21","ICR_524"
"1974","chr8",38383667,38383668,"chr8",38383667,38383854,"cg12441863_TC22","ICR_524"
"1975","chr8",38383704,38383705,"chr8",38383667,38383854,"cg12441865_TC11","ICR_524"
"1976","chr8",38383711,38383712,"chr8",38383667,38383854,"cg12441866_BC11","ICR_524"
"1977","chr8",38383756,38383757,"chr8",38383667,38383854,"cg12441870_BC11","ICR_524"
"1978","chr8",43489749,43489750,"chr8",43489685,43491049,"cg12497396_BC21","ICR_525"
"1979","chr8",43816548,43816549,"chr8",43815674,43816549,"cg12499591_BC21","ICR_526"
"1980","chr8",46918222,46918223,"chr8",46918222,46918380,"cg12516247_BC21","ICR_527"
"1981","chr8",46918251,46918252,"chr8",46918222,46918380,"cg12516248_BC21","ICR_527"
"1982","chr8",46918315,46918316,"chr8",46918222,46918380,"cg12516251_BC11","ICR_527"
"1983","chr8",46918379,46918380,"chr8",46918222,46918380,"cg12516256_TC21","ICR_527"
"1984","chr8",47763159,47763160,"chr8",47763159,47763510,"cg12524279_TC21","ICR_528"
"1985","chr8",47763161,47763162,"chr8",47763159,47763510,"cg22258315_TC21","ICR_528"
"1986","chr8",47763163,47763164,"chr8",47763159,47763510,"cg12524280_BC11","ICR_528"
"1987","chr8",47763166,47763167,"chr8",47763159,47763510,"cg12524281_TC11","ICR_528"
"1988","chr8",47763166,47763167,"chr8",47763159,47763510,"cg12524281_TC12","ICR_528"
"1989","chr8",47763204,47763205,"chr8",47763159,47763510,"cg12524283_TC11","ICR_528"
"1990","chr8",47763209,47763210,"chr8",47763159,47763510,"cg24160421_TC21","ICR_528"
"1991","chr8",47763349,47763350,"chr8",47763159,47763510,"cg09100271_BC21","ICR_528"
"1992","chr8",47763369,47763370,"chr8",47763159,47763510,"cg12524284_BC21","ICR_528"
"1993","chr8",47763369,47763370,"chr8",47763159,47763510,"cg12524284_BC22","ICR_528"
"1994","chr8",47763382,47763383,"chr8",47763159,47763510,"cg12524285_TC21","ICR_528"
"1995","chr8",47763384,47763385,"chr8",47763159,47763510,"cg12524286_BC21","ICR_528"
"1996","chr8",47763438,47763439,"chr8",47763159,47763510,"cg18762806_TC11","ICR_528"
"1997","chr8",47763480,47763481,"chr8",47763159,47763510,"cg12524292_TC11","ICR_528"
"1998","chr8",47763480,47763481,"chr8",47763159,47763510,"cg12524292_TC12","ICR_528"
"1999","chr8",47763492,47763493,"chr8",47763159,47763510,"cg09100338_TC11","ICR_528"
"2000","chr8",47763492,47763493,"chr8",47763159,47763510,"cg09100338_TC12","ICR_528"
"2001","chr8",53712395,53712396,"chr8",53712395,53712494,"cg12571712_TC21","ICR_529"
"2002","chr8",53712402,53712403,"chr8",53712395,53712494,"cg12571713_TC21","ICR_529"
"2003","chr8",53712456,53712457,"chr8",53712395,53712494,"cg12571716_BO11","ICR_529"
"2004","chr8",53712485,53712486,"chr8",53712395,53712494,"cg19864705_TC11","ICR_529"
"2005","chr8",54469241,54469242,"chr8",54469227,54469434,"cg12580916_TO11","ICR_530"
"2006","chr8",54469269,54469270,"chr8",54469227,54469434,"cg12580917_TC11","ICR_530"
"2007","chr8",54469279,54469280,"chr8",54469227,54469434,"cg12580918_BC11","ICR_530"
"2008","chr8",54469281,54469282,"chr8",54469227,54469434,"cg12580919_BC11","ICR_530"
"2009","chr8",54469281,54469282,"chr8",54469227,54469434,"cg12580919_BC12","ICR_530"
"2010","chr8",54469351,54469352,"chr8",54469227,54469434,"cg12580921_TC21","ICR_530"
"2011","chr8",54469405,54469406,"chr8",54469227,54469434,"cg12580922_TC21","ICR_530"
"2012","chr8",56117669,56117670,"chr8",56117669,56117858,"cg12595457_TC21","ICR_531"
"2013","chr8",56117689,56117690,"chr8",56117669,56117858,"cg12595458_TC21","ICR_531"
"2014","chr8",56117689,56117690,"chr8",56117669,56117858,"cg12595458_TC22","ICR_531"
"2015","chr8",56117854,56117855,"chr8",56117669,56117858,"cg12595475_TC21","ICR_531"
"2016","chr8",56117854,56117855,"chr8",56117669,56117858,"cg12595475_TC22","ICR_531"
"2017","chr8",57143039,57143040,"chr8",57142944,57143502,"cg12603557_TC21","ICR_532"
"2018","chr8",57143039,57143040,"chr8",57142944,57143502,"cg12603557_TC22","ICR_532"
"2019","chr8",57143278,57143279,"chr8",57142944,57143502,"cg12603558_BO11","ICR_532"
"2020","chr8",57143312,57143313,"chr8",57142944,57143502,"cg12603561_TC11","ICR_532"
"2021","chr8",57143316,57143317,"chr8",57142944,57143502,"cg11062466_TC11","ICR_532"
"2022","chr8",57143404,57143405,"chr8",57142944,57143502,"cg12603571_TC11","ICR_532"
"2023","chr8",57143447,57143448,"chr8",57142944,57143502,"cg12603573_BC21","ICR_532"
"2024","chr8",57280032,57280033,"chr8",57280019,57280373,"cg12605270_BC11","ICR_533"
"2025","chr8",57280032,57280033,"chr8",57280019,57280373,"cg12605270_BC12","ICR_533"
"2026","chr8",57280086,57280087,"chr8",57280019,57280373,"cg12605272_BC21","ICR_533"
"2027","chr8",57280086,57280087,"chr8",57280019,57280373,"cg12605272_BC22","ICR_533"
"2028","chr8",57280116,57280117,"chr8",57280019,57280373,"cg12605274_TC11","ICR_533"
"2029","chr8",57280191,57280192,"chr8",57280019,57280373,"cg12605280_TC21","ICR_533"
"2030","chr8",57280191,57280192,"chr8",57280019,57280373,"cg12605280_TC22","ICR_533"
"2031","chr8",57280193,57280194,"chr8",57280019,57280373,"cg24829409_TC11","ICR_533"
"2032","chr8",57280195,57280196,"chr8",57280019,57280373,"cg12605281_TC11","ICR_533"
"2033","chr8",57280195,57280196,"chr8",57280019,57280373,"cg12605281_TC12","ICR_533"
"2034","chr8",57280199,57280200,"chr8",57280019,57280373,"cg12605282_BC11","ICR_533"
"2035","chr8",57280214,57280215,"chr8",57280019,57280373,"cg12605283_BC11","ICR_533"
"2036","chr8",57280348,57280349,"chr8",57280019,57280373,"cg12605293_TC21","ICR_533"
"2037","chr8",57280372,57280373,"chr8",57280019,57280373,"cg12605295_BC21","ICR_533"
"2038","chr8",60714065,60714066,"chr8",60713941,60714366,"cg26441877_TC21","ICR_534"
"2039","chr8",60714065,60714066,"chr8",60713941,60714366,"cg26441877_TC22","ICR_534"
"2040","chr8",60714086,60714087,"chr8",60713941,60714366,"cg12844324_TC21","ICR_534"
"2041","chr8",60714089,60714090,"chr8",60713941,60714366,"cg12630037_TC11","ICR_534"
"2042","chr8",60714093,60714094,"chr8",60713941,60714366,"cg12630039_BC11","ICR_534"
"2043","chr8",60714103,60714104,"chr8",60713941,60714366,"cg12630040_BC11","ICR_534"
"2044","chr8",60714103,60714104,"chr8",60713941,60714366,"cg12630040_BC12","ICR_534"
"2045","chr8",60714113,60714114,"chr8",60713941,60714366,"cg12630041_BC11","ICR_534"
"2046","chr8",60714115,60714116,"chr8",60713941,60714366,"cg12630042_BC11","ICR_534"
"2047","chr8",60714228,60714229,"chr8",60713941,60714366,"cg12630057_TC11","ICR_534"
"2048","chr8",60714334,60714335,"chr8",60713941,60714366,"cg12630067_TC11","ICR_534"
"2049","chr8",60714342,60714343,"chr8",60713941,60714366,"cg12630068_BC21","ICR_534"
"2050","chr8",60714365,60714366,"chr8",60713941,60714366,"cg12630071_TC11","ICR_534"
"2051","chr8",65166235,65166236,"chr8",65166235,65166399,"cg12660233_BC21","ICR_535"
"2052","chr8",65166319,65166320,"chr8",65166235,65166399,"cg12660234_TC21","ICR_535"
"2053","chr8",65166321,65166322,"chr8",65166235,65166399,"cg12660235_BC21","ICR_535"
"2054","chr8",65166339,65166340,"chr8",65166235,65166399,"cg12660236_TO11","ICR_535"
"2055","chr8",65166344,65166345,"chr8",65166235,65166399,"cg12660237_BO11","ICR_535"
"2056","chr8",65166351,65166352,"chr8",65166235,65166399,"cg12660238_TC11","ICR_535"
"2057","chr8",65166385,65166386,"chr8",65166235,65166399,"cg12660240_TC21","ICR_535"
"2058","chr8",65166398,65166399,"chr8",65166235,65166399,"cg12660241_TC21","ICR_535"
"2059","chr8",69690356,69690357,"chr8",69690059,69690369,"cg12696646_TC21","ICR_536"
"2060","chr8",72074908,72074909,"chr8",72074819,72075145,"cg12715318_TC21","ICR_537"
"2061","chr8",72074929,72074930,"chr8",72074819,72075145,"cg12715319_BC21","ICR_537"
"2062","chr8",72074956,72074957,"chr8",72074819,72075145,"cg12715320_BC21","ICR_537"
"2063","chr8",72074975,72074976,"chr8",72074819,72075145,"cg12715321_BC21","ICR_537"
"2064","chr8",72075015,72075016,"chr8",72074819,72075145,"cg12715322_BC21","ICR_537"
"2065","chr8",72075093,72075094,"chr8",72074819,72075145,"cg12715323_TC21","ICR_537"
"2066","chr8",72075131,72075132,"chr8",72074819,72075145,"cg12715324_TC21","ICR_537"
"2067","chr8",72075142,72075143,"chr8",72074819,72075145,"cg12715325_TC21","ICR_537"
"2068","chr8",72075142,72075143,"chr8",72074819,72075145,"cg12715325_TC22","ICR_537"
"2069","chr8",72075144,72075145,"chr8",72074819,72075145,"cg12715326_TC21","ICR_537"
"2070","chr8",72075144,72075145,"chr8",72074819,72075145,"cg12715326_TC22","ICR_537"
"2071","chr8",92627658,92627659,"chr8",92627658,92628162,"cg12846029_BC21","ICR_538"
"2072","chr8",92627669,92627670,"chr8",92627658,92628162,"cg12846030_TC21","ICR_538"
"2073","chr8",92627700,92627701,"chr8",92627658,92628162,"cg12846031_TO11","ICR_538"
"2074","chr8",92627904,92627905,"chr8",92627658,92628162,"cg12846033_BC21","ICR_538"
"2075","chr8",92627942,92627943,"chr8",92627658,92628162,"cg12846034_TC21","ICR_538"
"2076","chr8",92627944,92627945,"chr8",92627658,92628162,"cg12846035_BC21","ICR_538"
"2077","chr8",92627944,92627945,"chr8",92627658,92628162,"cg12846035_BC22","ICR_538"
"2078","chr8",92628001,92628002,"chr8",92627658,92628162,"cg12846036_BC21","ICR_538"
"2079","chr8",92628161,92628162,"chr8",92627658,92628162,"cg12846037_TC21","ICR_538"
"2080","chr8",94119577,94119578,"chr8",94119577,94120523,"cg12856909_TC21","ICR_539"
"2081","chr8",94119643,94119644,"chr8",94119577,94120523,"cg12856911_BC21","ICR_539"
"2082","chr8",94119643,94119644,"chr8",94119577,94120523,"cg12856911_BC22","ICR_539"
"2083","chr8",94119784,94119785,"chr8",94119577,94120523,"cg12856913_BC21","ICR_539"
"2084","chr8",94119835,94119836,"chr8",94119577,94120523,"cg12856914_TC21","ICR_539"
"2085","chr8",94119905,94119906,"chr8",94119577,94120523,"cg12856918_TC21","ICR_539"
"2086","chr8",94119952,94119953,"chr8",94119577,94120523,"cg12856919_BC21","ICR_539"
"2087","chr8",94120051,94120052,"chr8",94119577,94120523,"cg12856920_TC21","ICR_539"
"2088","chr8",94120053,94120054,"chr8",94119577,94120523,"cg12856921_BC21","ICR_539"
"2089","chr8",94120078,94120079,"chr8",94119577,94120523,"cg12856922_TC21","ICR_539"
"2090","chr8",94120081,94120082,"chr8",94119577,94120523,"cg12856923_BC11","ICR_539"
"2091","chr8",94120108,94120109,"chr8",94119577,94120523,"cg12856924_BC21","ICR_539"
"2092","chr8",94120121,94120122,"chr8",94119577,94120523,"cg12856925_BC21","ICR_539"
"2093","chr8",94120197,94120198,"chr8",94119577,94120523,"cg12856927_BC11","ICR_539"
"2094","chr8",94120234,94120235,"chr8",94119577,94120523,"cg12856928_BC21","ICR_539"
"2095","chr8",94120375,94120376,"chr8",94119577,94120523,"cg12856929_BC21","ICR_539"
"2096","chr8",94120459,94120460,"chr8",94119577,94120523,"cg12856930_TC21","ICR_539"
"2097","chr8",94120462,94120463,"chr8",94119577,94120523,"cg12856931_BC21","ICR_539"
"2098","chr8",94120462,94120463,"chr8",94119577,94120523,"cg12856931_BC22","ICR_539"
"2099","chr8",94120522,94120523,"chr8",94119577,94120523,"cg12856933_TC21","ICR_539"
"2100","chr8",101108706,101108707,"chr8",101108706,101109141,"cg12918726_BC21","ICR_540"
"2101","chr8",101108852,101108853,"chr8",101108706,101109141,"cg12918727_BC21","ICR_540"
"2102","chr8",101108895,101108896,"chr8",101108706,101109141,"cg12918728_BC11","ICR_540"
"2103","chr8",101108901,101108902,"chr8",101108706,101109141,"cg12918729_TO11","ICR_540"
"2104","chr8",101108919,101108920,"chr8",101108706,101109141,"cg12918730_BO11","ICR_540"
"2105","chr8",101108992,101108993,"chr8",101108706,101109141,"cg12918732_BC11","ICR_540"
"2106","chr8",101109062,101109063,"chr8",101108706,101109141,"cg12918733_TC21","ICR_540"
"2107","chr8",101109075,101109076,"chr8",101108706,101109141,"cg12918734_TO11","ICR_540"
"2108","chr8",101109083,101109084,"chr8",101108706,101109141,"cg12918735_TC21","ICR_540"
"2109","chr8",101109083,101109084,"chr8",101108706,101109141,"cg12918735_TC22","ICR_540"
"2110","chr8",101109140,101109141,"chr8",101108706,101109141,"cg12918738_BC21","ICR_540"
"2111","chr8",101277218,101277219,"chr8",101277218,101278202,"cg12920482_BC21","ICR_541"
"2112","chr8",101277222,101277223,"chr8",101277218,101278202,"cg12920483_TC21","ICR_541"
"2113","chr8",101277250,101277251,"chr8",101277218,101278202,"cg12920484_BC11","ICR_541"
"2114","chr8",101277310,101277311,"chr8",101277218,101278202,"cg12920485_BO11","ICR_541"
"2115","chr8",101277568,101277569,"chr8",101277218,101278202,"cg12920486_BC21","ICR_541"
"2116","chr8",101277615,101277616,"chr8",101277218,101278202,"cg20628734_TC21","ICR_541"
"2117","chr8",101277797,101277798,"chr8",101277218,101278202,"cg12920487_TC21","ICR_541"
"2118","chr8",101277993,101277994,"chr8",101277218,101278202,"cg12920488_TC21","ICR_541"
"2119","chr8",101278011,101278012,"chr8",101277218,101278202,"cg12920489_BC21","ICR_541"
"2120","chr8",102528554,102528555,"chr8",102528554,102528786,"cg20570109_BC21","ICR_542"
"2121","chr8",102528570,102528571,"chr8",102528554,102528786,"cg12931239_BC11","ICR_542"
"2122","chr8",102528586,102528587,"chr8",102528554,102528786,"cg12931241_BC11","ICR_542"
"2123","chr8",102528586,102528587,"chr8",102528554,102528786,"cg12931241_BC12","ICR_542"
"2124","chr8",102528608,102528609,"chr8",102528554,102528786,"cg12931243_TC11","ICR_542"
"2125","chr8",102528615,102528616,"chr8",102528554,102528786,"cg12931244_TC11","ICR_542"
"2126","chr8",102528650,102528651,"chr8",102528554,102528786,"cg12931245_TC21","ICR_542"
"2127","chr8",102528664,102528665,"chr8",102528554,102528786,"cg12931246_TC21","ICR_542"
"2128","chr8",102528693,102528694,"chr8",102528554,102528786,"cg21744189_BC21","ICR_542"
"2129","chr8",102528697,102528698,"chr8",102528554,102528786,"cg12931247_BC21","ICR_542"
"2130","chr8",102528709,102528710,"chr8",102528554,102528786,"cg12931248_TC21","ICR_542"
"2131","chr8",102528711,102528712,"chr8",102528554,102528786,"cg12931249_BC11","ICR_542"
"2132","chr8",102528734,102528735,"chr8",102528554,102528786,"cg12931250_BC11","ICR_542"
"2133","chr8",102528738,102528739,"chr8",102528554,102528786,"cg12931251_TC11","ICR_542"
"2134","chr8",102528769,102528770,"chr8",102528554,102528786,"cg12931253_TC21","ICR_542"
"2135","chr8",102528785,102528786,"chr8",102528554,102528786,"cg11890239_BC21","ICR_542"
"2136","chr8",104367373,104367374,"chr8",104367347,104367629,"cg11421509_BC11","ICR_543"
"2137","chr8",104367382,104367383,"chr8",104367347,104367629,"cg12946379_TC11","ICR_543"
"2138","chr8",104367497,104367498,"chr8",104367347,104367629,"cg11147215_TC11","ICR_543"
"2139","chr8",104367526,104367527,"chr8",104367347,104367629,"cg12946393_TC11","ICR_543"
"2140","chr8",104367554,104367555,"chr8",104367347,104367629,"cg12946394_TC11","ICR_543"
"2141","chr8",104367567,104367568,"chr8",104367347,104367629,"cg12946396_BC11","ICR_543"
"2142","chr8",104367569,104367570,"chr8",104367347,104367629,"cg12946397_TC11","ICR_543"
"2143","chr8",108139803,108139804,"chr8",108139803,108140486,"cg12970265_BC11","ICR_544"
"2144","chr8",108139813,108139814,"chr8",108139803,108140486,"cg12970266_BC21","ICR_544"
"2145","chr8",108139838,108139839,"chr8",108139803,108140486,"cg12970267_TC11","ICR_544"
