icr,location,zf1,zf2,zf3,,
ICR_570,chr9:41267302-41267410,,,,,
ICR_571,chr9:41273436-41273534,,,,,
ICR_572,chr9:42725366-42725715,,,,,
ICR_573,chr9:43310884-43310973,,,,,
ICR_574,chr9:43312148-43312374,,,,,
ICR_575,chr9:61634706-61634830,,,,,
ICR_576^,chr9:62830466-62830683,,,,,
ICR_577,chr9:62833773-62833859,,,,,
ICR_578,chr9:62844696-62844981,,,,,
ICR_579,chr9:62915277-62915432,,,,,
ICR_580,chr9:63703993-63704066,,,,,
ICR_581,chr9:63705422-63705648,,,,,
ICR_582,chr9:63758459-63759888,,,,,
ICR_583,chr9:63781885-63782006,,,,,
ICR_584,chr9:63783945-63784110,,,,,
ICR_585*,chr9:63784657-63784765,,,,,
ICR_586,chr9:63816391-63816562,,,,,
ICR_587^,chr9:63816764-63816827,,,,,
ICR_588,chr9:63871753-63873362,,,,,
ICR_589,chr9:63874323-63875499,,,,,
ICR_590,chr9:64015992-64016150,,,,,
ICR_591,chr9:64072047-64072115,,,,,
ICR_592,chr9:65385432-65385641,,,,,
ICR_593,chr9:65566060-65566418,,,,,
ICR_594,chr9:66198551-66198816,,,,,
ICR_595,chr9:66266929-66267052,,,,,
ICR_596,chr9:66270138-66270217,,,,,
ICR_597,chr9:67720383-67720553,,,,,
ICR_598^,chr9:84272060-84272363,,,,,
ICR_599^,chr9:85077205-85077528,,,,,
ICR_600,chr9:87944657-87944766,,,,,
ICR_601^,chr9:89282235-89282503,,,,,
ICR_602,chr9:89859835-89860135,,,,,
ICR_603^,chr9:95313103-95313511,,,,,
ICR_604*^,chr9:96177087-96177730,,,,,
ICR_605,chr9:105519837-105519944,,,,,
ICR_606*^,chr9:107738565-107738693,,,,,
ICR_607^,chr9:110172756-110173053,,,,,
ICR_608,chr9:113062954-113063358,ZFP57,ZFP57,ZFP445,,
ICR_609*^,chr9:117642714-117642890,,,,,
ICR_610*,chr9:120843544-120843654,ZFP57,,,,
ICR_611^,chr9:121305691-121305944,,,,,
ICR_612,chr9:123356551-123356966,,,,,
ICR_613,chr9:124453066-124453097,,,,,
ICR_614,chr9:126206071-126206408,,,,,
ICR_615^,chr9:127897741-127897833,,,,,
ICR_616^,chr9:128415922-128416668,,,,,
ICR_617,chr9:130327055-130327332,,,,,
ICR_618^,chr9:131681863-131682453,,,,,
ICR_619*^,chr9:133656561-133656899,ZFP57,,,,
ICR_620^,chr9:134626633-134626781,,,,,
ICR_621^,chr9:134800924-134801207,,,,,
ICR_622*^,chr9:135253830-135253970,,,,,
ICR_623,chr9:135605044-135605311,,,,,
ICR_624,chr9:135718080-135718453,,,,,
ICR_625^,chr9:136656981-136657090,,,,,
ICR_626,chr9:137145779-137145957,,,,,
ICR_627^,chr9:137306698-137307023,,,,,
ICR_628,chr9:137388287-137388459,,,,,
ICR_629,chr9:138220832-138220984,,,,,
ICR_630*^,chr10:789268-789465,,,,,
ICR_631*^,chr10:1297781-1298190,,,,,
ICR_632,chr10:1363307-1363351,ZFP57,,,,
ICR_633^,chr10:5645451-5645631,,,,,
ICR_634,chr10:6891176-6891381,,,,,
ICR_635^,chr10:7438568-7438955,,,,,
ICR_636^,chr10:7533053-7533508,,,,,
ICR_637^,chr10:8296350-8296684,,,,,
ICR_638^,chr10:13158505-13158697,ZFP57,,,,
ICR_639^,chr10:14588077-14588478,,,,,
ICR_640^,chr10:18261294-18261435,,,,,
ICR_641^,chr10:24519852-24520359,,,,,
ICR_642^,chr10:26946192-26946511,,,,,
ICR_643*^,chr10:27413523-27414477,,,,,
ICR_644^,chr10:28326170-28327001,,,,,
ICR_645^,chr10:30431646-30431844,,,,,
ICR_646,chr10:38727852-38728509,,,,,
ICR_647,chr10:38786641-38786908,,,,,
ICR_648,chr10:38942427-38942486,,,,,
ICR_649,chr10:38942778-38942877,,,,,
ICR_650,chr10:42118216-42121531,,,,,
ICR_651,chr10:42149862-42149921,,,,,
ICR_652,chr10:42151841-42153075,,,,,
ICR_653,chr10:42241615-42241757,,,,,
ICR_654^,chr10:43078143-43078252,,,,,
ICR_655,chr10:43689371-43689485,,,,,
ICR_656^,chr10:43910440-43910803,,,,,
ICR_657*^,chr10:45249637-45250053,,,,,
ICR_658,chr10:45600493-45600614,ZFP57,,,,
ICR_659,chr10:61867420-61867672,,,,,
ICR_660*^,chr10:61867799-61868187,,,,,
ICR_661^,chr10:64924402-64924675,,,,,
ICR_662,chr10:66927121-66927439,,,,,
ICR_663^,chr10:68526085-68526595,,,,,
ICR_664^,chr10:71266448-71266685,,,,,
ICR_665^,chr10:71279400-71279528,,,,,
ICR_666^,chr10:78356394-78357287,,,,,
ICR_667^,chr10:80136121-80136538,,,,,
ICR_668,chr10:86388993-86389094,ZFP57,,,,
ICR_669*^,chr10:91745083-91745329,,,,,
ICR_670,chr10:92592233-92592408,,,,,
ICR_671,chr10:93065339-93065536,ZFP57,,,,
ICR_672*,chr10:95230515-95230706,,,,,
ICR_673,chr10:97578444-97578664,,,,,
ICR_674^,chr10:97974158-97974573,,,,,
ICR_675,chr10:100669022-100669173,,,,,
ICR_676,chr10:102409678-102409976,,,,,
ICR_677,chr10:102433070-102433216,,,,,
ICR_678,chr10:103585098-103585172,ZFP57,,,,
ICR_679,chr10:104275410-104275792,,,,,
ICR_680*^,chr10:116809589-116809702,,,,,
ICR_681*^,chr10:119817943-119819030,ZFP57,,,,
ICR_682^,chr10:124589490-124589769,,,,,
ICR_683*,chr10:125370442-125370643,,,,,
ICR_684,chr10:125773898-125774247,ZFP57,,,,
ICR_685^,chr10:125896694-125896736,,,,,
ICR_686*^,chr10:126882020-126882047,,,,,
ICR_687^,chr10:127911380-127911781,,,,,
ICR_688,chr10:129833441-129834121,,,,,
ICR_689^,chr10:130301062-130301272,,,,,
ICR_690,chr10:131884686-131885233,,,,,
ICR_691,chr10:132044138-132044430,,,,,
ICR_692^,chr10:132965246-132965501,,,,,
ICR_693,chr10:133099321-133099567,,,,,
ICR_694,chr10:133246176-133246423,,,,,
ICR_695,chr10:133569810-133570081,ZFP57,ZFP57,,,
ICR_696,chr10:133622471-133622653,,,,,
ICR_697,chr10:133655010-133656362,,,,,
ICR_698,chr10:133666076-133666119,,,,,
ICR_699,chr10:133675112-133675277,,,,,
ICR_700,chr10:133682103-133682144,,,,,
ICR_701,chr10:133685048-133685212,,,,,
ICR_702,chr10:133689257-133690164,,,,,
ICR_703,chr10:133740759-133740834,ZFP57,,,,
ICR_704,chr10:133743836-133743911,ZFP57,ZFP445,,,
ICR_705,chr10:133749234-133749385,ZFP57,ZFP57,,,
ICR_706,chr10:133750697-133750793,ZFP57,ZFP57,ZFP445,,
ICR_707^,chr11:369961-370051,,,,,
ICR_708*^,chr11:396655-396870,,,,,
ICR_709*^,chr11:397385-397461,,ZFP445,,,
ICR_710^,chr11:400577-400771,ZFP57,ZFP445,,,
ICR_711,chr11:420604-420662,ZFP57,ZFP445,,,
ICR_712,chr11:424776-424992,ZFP57,ZFP445,,,
ICR_713,chr11:425254-425347,ZFP57,ZFP445,,,
ICR_714^,chr11:859644-859722,,,,,
ICR_715*,chr11:1453511-1453601,,,,,
ICR_716*^#,chr11:1997886-1999417,ZFP57,ZFP57,,,
ICR_717*^#,chr11:1999793-2000383,ZFP57,ZFP445,,,
ICR_718*^#,chr11:2000487-2001247,ZFP57,ZFP57,ZFP445,,
ICR_719*^#,chr11:2001655-2003118,ZFP57,ZFP445,,,
ICR_720*^#,chr11:2698157-2699485,ZFP57,ZFP445,,,
ICR_721*^#,chr11:2699814-2701210,ZFP57,,,,
ICR_722,chr11:2870172-2870432,ZFP57,,,,
ICR_723,chr11:3513882-3514062,,,,,
ICR_724*^,chr11:7088963-7089048,ZFP57,,,,
ICR_725,chr11:8262180-8262286,,,,,
ICR_726^,chr11:14259048-14259382,ZFP57,,,,
ICR_727,chr11:15651003-15651264,,,,,
ICR_728^,chr11:18107798-18107979,,,,,
ICR_729*^,chr11:18455848-18455995,,,,,
ICR_730,chr11:44328419-44329478,,,,,
ICR_731,chr11:49050003-49050137,,,,,
ICR_732,chr11:49851833-49852120,,,,,
ICR_733,chr11:55580528-55582100,,,,,
ICR_734,chr11:58963346-58963429,,,,,
ICR_735,chr11:59063032-59063174,,,,,
ICR_736^,chr11:60907137-60907586,ZFP57,,,,
ICR_737*^,chr11:62371153-62371400,,,,,
ICR_738^,chr11:64714283-64714884,,,,,
ICR_739,chr11:67607613-67607749,,,,,
ICR_740*^,chr11:68755017-68755448,,,,,
ICR_741^,chr11:77040373-77040529,,,,,
ICR_742^,chr11:77588835-77589141,,,,,
ICR_743,chr11:78196833-78196990,,,,,
ICR_744*^,chr11:96341424-96341836,,,,,
ICR_745,chr11:96410805-96411284,,,,,
ICR_746*^,chr11:102808050-102808297,,,,,
ICR_747*^,chr11:110209077-110209353,,,,,
ICR_748,chr11:116459010-116459314,,,,,
ICR_749,chr11:118721380-118721604,,,,,
ICR_750*^,chr11:119475095-119475642,,,,,
ICR_751*^,chr11:119942219-119942412,,,,,
ICR_752*^,chr11:119982974-119983610,,,,,
ICR_753*^,chr11:122556794-122557198,ZFP57,,,,
ICR_754*^,chr11:128451854-128452036,,,,,
ICR_755^,chr11:132792676-132793068,,,,,
ICR_756,chr11:133081840-133082221,,,,,
ICR_757,chr11:133222318-133222823,,,,,
ICR_758^,chr11:134466582-134466996,,,,,
ICR_759^,chr11:134851895-134852132,,,,,
ICR_760*^,chr12:199250-199841,,,,,
ICR_761*^,chr12:3420937-3421557,,,,,
ICR_762^,chr12:7639803-7640300,,,,,
ICR_763^,chr12:8227098-8227983,,,,,
ICR_764,chr12:9943209-9943571,,,,,
ICR_765,chr12:24562721-24562763,,,,,
ICR_766^,chr12:31119107-31120320,,,,,
ICR_767,chr12:31120459-31120874,,ZFP445,,,
ICR_768,chr12:34331950-34332139,,,,,
ICR_769^,chr12:34336036-34336101,,,,,
ICR_770,chr12:34342777-34342848,,,,,
ICR_771^,chr12:34346704-34346757,,,,,
ICR_772,chr12:34353479-34353547,,,,,
ICR_773,chr12:34354541-34354645,,,,,
ICR_774,chr12:34374083-34374112,,,,,
ICR_775,chr12:34602003-34602191,,,,,
ICR_776,chr12:37323065-37323465,,,,,
ICR_777,chr12:37568772-37569243,,,,,
ICR_778*^,chr12:38053778-38053848,,,,,
ICR_779,chr12:49543394-49543481,,,,,
ICR_780,chr12:51888213-51888322,,,,,
ICR_781^,chr12:52193633-52194445,,,,,
ICR_782,chr12:52321080-52321266,,,,,
ICR_783,chr12:54133068-54133783,,,,,
ICR_784*^,chr12:55996580-55996638,ZFP57,,,,
ICR_785,chr12:67719459-67719604,,,,,
ICR_786^,chr12:76319989-76320071,,,,,
ICR_787^,chr12:79710741-79711075,,,,,
ICR_788*,chr12:80513006-80513314,,,,,
ICR_789^,chr12:92503489-92504056,,,,,
ICR_790^,chr12:93894577-93894889,,,,,
ICR_791^,chr12:94261976-94262639,,,,,
ICR_792^,chr12:104506679-104507259,,,,,
ICR_793*,chr12:108768488-108768569,,,,,
ICR_794^,chr12:110247427-110248050,,,,,
ICR_795,chr12:110501049-110501164,,,,,
ICR_796,chr12:111037275-111037366,,,,,
ICR_797^,chr12:113766062-113766194,ZFP57,,,,
ICR_798,chr12:118106392-118106759,,,,,
ICR_799^,chr12:124259431-124259804,,,,,
ICR_800*^,chr12:124369462-124369821,,,,,
ICR_801^,chr12:124423210-124423379,,,,,
ICR_802^,chr12:124759333-124759536,,,,,
ICR_803^,chr12:125314148-125314524,,,,,
ICR_804^,chr12:130337933-130338027,,,,,
ICR_805^,chr12:130686671-130687021,,,,,
ICR_806^,chr12:131928302-131928452,,,,,
ICR_807*,chr12:132436944-132437228,ZFP57,,,,
ICR_808,chr12:132514078-132514147,,,,,
ICR_809,chr12:132603392-132603498,,,,,
ICR_810,chr13:16211038-16211596,,,,,
ICR_811,chr13:18662579-18665131,,,,,
ICR_812,chr13:19382308-19382395,,,,,
ICR_813,chr13:20129221-20129276,,,,,
ICR_814,chr13:20142811-20142911,ZFP57,,,,
ICR_815,chr13:20394546-20394785,,,,,
ICR_816,chr13:20415400-20415596,,,,,
ICR_817*,chr13:20436022-20436118,,,,,
ICR_818*^,chr13:21242471-21243094,,,,,
ICR_819*,chr13:22735653-22735791,,,,,
ICR_820,chr13:22736379-22736701,,,,,
ICR_821,chr13:23945647-23946368,,,,,
ICR_822,chr13:24637783-24637864,,,,,
ICR_823^,chr13:26187178-26187354,,,,,
ICR_824,chr13:46437983-46438129,,,,,
ICR_825,chr13:48317373-48317679,,,,,
ICR_826#,chr13:48317894-48321417,ZFP57,,,,
ICR_827*^,chr13:60267612-60268519,,,,,
ICR_828*^,chr13:80140976-80141757,,,,,
ICR_829^,chr13:80654682-80655272,,,,,
ICR_830^,chr13:98977628-98977816,,,,,
ICR_831^,chr13:100521893-100522472,,,,,
ICR_832^,chr13:106490937-106491301,,,,,
ICR_833*^,chr13:109869774-109870166,,,,,
ICR_834,chr13:110813152-110813255,,,,,
ICR_835,chr13:110813578-110813640,,,,,
ICR_836,chr13:111411595-111411773,,,,,
ICR_837^,chr13:113050720-113050828,,,,,
ICR_838^,chr13:113729641-113730537,,,,,
ICR_839*,chr13:113802775-113802965,,,,,
ICR_840,chr13:113937749-113938169,,,,,
ICR_841,chr13:114198821-114199079,,,,,
ICR_842,chr13:114199531-114199617,,,,,
ICR_843*,chr13:114199984-114200221,,,,,
ICR_844,chr14:18561725-18562488,,,,,
ICR_845,chr14:19729937-19732258,,,,,
ICR_846^,chr14:20624009-20624207,,,,,
ICR_847*^,chr14:20660009-20660687,,,,,
ICR_848,chr14:23048045-23048114,,,,,
ICR_849*^,chr14:24331724-24331907,,,,,
ICR_850^,chr14:24335544-24336183,,,,,
ICR_851*^,chr14:30690552-30690699,,,,,
ICR_852^,chr14:32484787-32484965,,,,,
ICR_853,chr14:33799786-33799948,ZFP57,,,,
ICR_854,chr14:35825391-35825732,ZFP57,,,,
ICR_855,chr14:53976837-53976954,,,,,
ICR_856^,chr14:54804852-54805123,,,,,
ICR_857^,chr14:59965739-59965861,,,,,
ICR_858,chr14:70360209-70360280,,,,,
ICR_859^,chr14:74265554-74265792,,,,,
ICR_860*^,chr14:75429703-75430673,,,,,
ICR_861,chr14:90525537-90525570,,,,,
ICR_862^,chr14:93036164-93036693,,,,,
ICR_863,chr14:95714543-95714740,,,,,
ICR_864,chr14:96392817-96392937,,,,,
ICR_865,chr14:96423656-96423802,,,,,
ICR_866^,chr14:96588928-96589205,,,,,
ICR_867^,chr14:98831018-98831612,,,,,
ICR_868^,chr14:98913707-98914385,,,,,
ICR_869^,chr14:100714137-100714444,,,,,
ICR_870,chr14:100810233-100810638,,,,,
ICR_871^,chr14:100810929-100811087,,ZFP445,,,
ICR_872^,chr14:100824152-100824410,,,,,
ICR_873*^#,chr14:100824556-100828242,ZFP57,ZFP57,ZFP445,,
ICR_874,chr14:103928394-103928494,ZFP57,ZFP445,,,
ICR_875*^,chr14:104171069-104171501,,,,,
ICR_876^,chr14:104461608-104461664,,,,,
ICR_877,chr14:104473963-104474087,,,,,
ICR_878^,chr14:105060530-105060974,,,,,
ICR_879,chr14:105628650-105629100,,,,,
ICR_880,chr14:106650086-106650799,,,,,
ICR_881,chr14:106797964-106799288,,,,,
ICR_882,chr15:19891502-19892733,,,,,
ICR_883,chr15:20148130-20148185,,,,,
ICR_884,chr15:20416866-20418250,,,,,
ICR_885^,chr15:21282115-21282897,,,,,
ICR_886,chr15:23561842-23563087,,,,,
ICR_887^#,chr15:23647239-23648622,,,,,
ICR_888#,chr15:23686523-23686574,,,,,
ICR_889,chr15:23758904-23759277,,,,,
ICR_890,chr15:23860773-23861094,,,,,
ICR_891,chr15:23897271-23897645,,,,,
ICR_892^,chr15:24877837-24878217,,,,,
ICR_893*^,chr15:24954592-24956828,,,,,
ICR_894,chr15:26670350-26670605,,,,,
ICR_895^,chr15:28993177-28993653,,,,,
ICR_896,chr15:31484287-31484332,ZFP57,,,,
ICR_897^,chr15:33256985-33257103,,,,,
ICR_898*^,chr15:40769605-40770075,,,,,
ICR_899^,chr15:47196694-47197259,,,,,
ICR_900^,chr15:52112006-52112086,ZFP57,,,,
ICR_901^,chr15:53830756-53831316,,,,,
ICR_902^,chr15:56007034-56007264,,,,,
ICR_903,chr15:65076997-65077172,ZFP57,,,,
ICR_904*,chr15:65077525-65077598,ZFP57,,,,
ICR_905^,chr15:65949315-65949942,,,,,
ICR_906*^,chr15:66763320-66763575,,,,,
ICR_907^,chr15:66877196-66878321,,,,,
ICR_908^,chr15:68930446-68930772,,ZFP445,,,
ICR_909^,chr15:70605464-70606129,,,,,
ICR_910,chr15:88241807-88242028,,,,,
ICR_911,chr15:88741939-88742055,,,,,
ICR_912^,chr15:95287058-95287471,,,,,
ICR_913^,chr15:98865375-98866277,,,,,
ICR_914^,chr15:99476322-99476786,,,,,
ICR_915,chr15:99806120-99806200,ZFP57,,,,
ICR_916,chr15:100544247-100544786,,,,,
ICR_917,chr16:159416-159850,,,,,
ICR_918,chr16:561123-561328,,,,,
ICR_919,chr16:801561-801834,,,,,
ICR_920,chr16:817208-818000,,,,,
ICR_921^,chr16:1043980-1044213,ZFP57,,,,
ICR_922^,chr16:2038931-2039033,ZFP57,ZFP57,,,
ICR_923*^,chr16:2798432-2798680,,,,,
ICR_924,chr16:3107245-3107593,,,,,
ICR_925,chr16:3254352-3254557,,,,,
ICR_926^,chr16:3431819-3432009,,,,,
ICR_927*^,chr16:3443280-3444094,,,,,
ICR_928,chr16:5490312-5490585,,,,,
ICR_929^,chr16:9154539-9154720,ZFP57,,,,
ICR_930*,chr16:14990248-14990306,ZFP57,ZFP57,,,
ICR_931^,chr16:17364420-17365021,,,,,
ICR_932,chr16:27306120-27306581,,,,,
ICR_933*^,chr16:27327462-27327798,,,,,
ICR_934,chr16:31224220-31224409,,,,,
ICR_935,chr16:31428164-31428239,,,,,
ICR_936*,chr16:32066244-32066336,,,,,
ICR_937,chr16:32084126-32084430,,,,,
ICR_938,chr16:32187478-32187763,ZFP57,,,,
ICR_939^,chr16:32188159-32188300,ZFP57,,,,
ICR_940^,chr16:32310484-32310555,,,,,
ICR_941,chr16:32523621-32525336,,,,,
ICR_942,chr16:32846754-32846827,,,,,
ICR_943,chr16:33026905-33027302,,,,,
ICR_944^,chr16:33516787-33516835,,,,,
ICR_945,chr16:33680828-33680944,,,,,
ICR_946,chr16:33808459-33808588,,,,,
ICR_947,chr16:34133988-34134110,,,,,
ICR_948^,chr16:34134512-34134657,,,,,
ICR_949^,chr16:34150896-34150953,,,,,
ICR_950^,chr16:34153970-34154041,,,,,
ICR_951,chr16:34158989-34159048,,,,,
ICR_952,chr16:34641102-34641465,,,,,
ICR_953,chr16:34803525-34803596,,,,,
ICR_954^,chr16:35208269-35208463,,,,,
ICR_955,chr16:35246812-35248137,,,,,
ICR_956*,chr16:35271909-35272955,,,,,
ICR_957,chr16:35397156-35398017,,,,,
ICR_958,chr16:35434223-35436923,,,,,
ICR_959*^,chr16:35492463-35492505,,,,,
ICR_960^,chr16:35631098-35632919,,,,,
ICR_961,chr16:35690947-35691217,,,,,
ICR_962*^,chr16:46757358-46757691,,,,,
ICR_963^,chr16:55760602-55760930,,,,,
ICR_964^,chr16:57889831-57890669,,,,,
ICR_965^,chr16:66845423-66846154,,,,,
ICR_966*^,chr16:67654637-67654865,,,,,
ICR_967,chr16:70450851-70451346,,,,,
ICR_968,chr16:70524741-70524805,,,,,
ICR_969,chr16:71383780-71384024,,,,,
ICR_970,chr16:73171236-73171514,,,,,
ICR_971^,chr16:79037697-79038236,,,,,
ICR_972*^,chr16:79328593-79329315,,,,,
ICR_973^,chr16:79838820-79839867,,,,,
ICR_974,chr16:85263027-85263356,,,,,
ICR_975*^,chr16:85480230-85480623,,,,,
ICR_976^,chr16:87517952-87518116,,,,,
ICR_977^,chr16:88186741-88186914,,,,,
ICR_978,chr16:88431177-88431330,,,,,
ICR_979^,chr17:335949-336142,,,,,
ICR_980,chr17:753058-753176,,,,,
ICR_981^,chr17:1492497-1492586,,,,,
ICR_982,chr17:1961067-1961305,,,,,
ICR_983*^,chr17:2122709-2123630,,,,,
ICR_984^,chr17:2691899-2691997,,,,,
ICR_985*^,chr17:3386154-3386259,,,,,
ICR_986*,chr17:4783019-4783185,,,,,
ICR_987,chr17:5771207-5771575,,,,,
ICR_988,chr17:8347360-8347494,,,,,
ICR_989,chr17:16683802-16683924,ZFP57,,,,
ICR_990,chr17:16856437-16856709,,,,,
ICR_991^,chr17:18625246-18625400,,,,,
ICR_992^,chr17:19980115-19980296,,,,,
ICR_993*^,chr17:20896157-20896553,,,,,
ICR_994*,chr17:21512149-21512223,,,,,
ICR_995,chr17:21573789-21574080,ZFP57,,,,
ICR_996,chr17:21656813-21657134,,,,,
ICR_997,chr17:21678811-21679073,,,,,
ICR_998,chr17:21681088-21681431,,,,,
ICR_999,chr17:21685888-21686090,,,,,
ICR_1000,chr17:21841948-21841991,,,,,
ICR_1001,chr17:21843634-21843712,,,,,
ICR_1002^,chr17:22266218-22266557,,,,,
ICR_1003,chr17:26733376-26735171,,,,,
ICR_1004,chr17:26788440-26788550,,,,,
ICR_1005^,chr17:28645702-28645796,,,,,
ICR_1006,chr17:34040220-34040257,,,,,
ICR_1007^,chr17:34571676-34571885,,,,,
ICR_1008^,chr17:35151123-35151341,,,,,
ICR_1009,chr17:39868449-39868635,,,,,
ICR_1010^,chr17:40014561-40014758,,,,,
ICR_1011^,chr17:43126133-43126286,ZFP57,,,,
ICR_1012^,chr17:43360035-43360515,,ZFP445,,,
ICR_1013,chr17:43677696-43677780,,,,,
ICR_1014,chr17:44326010-44326327,,,,,
ICR_1015,chr17:44384061-44384311,,,,,
ICR_1016,chr17:45120891-45120962,,,,,
ICR_1017^,chr17:45745363-45745724,,,,,
ICR_1018^,chr17:48049453-48049878,,,,,
ICR_1019^,chr17:50565110-50565144,,,,,
ICR_1020^,chr17:50639135-50639654,,,,,
ICR_1021,chr17:52884073-52884266,,,,,
ICR_1022,chr17:58083349-58083378,,,,,
ICR_1023*^,chr17:74919335-74919776,ZFP57,,,,
ICR_1024*^,chr17:76079666-76079946,,,,,
ICR_1025^,chr17:76542972-76543727,,,,,
ICR_1026^,chr17:77351321-77351534,,,,,
ICR_1027,chr17:79517963-79518428,,,,,
ICR_1028^,chr17:80191857-80192326,,,,,
ICR_1029,chr17:81499100-81499231,,,,,
ICR_1030*^,chr17:82777871-82777963,,,,,
ICR_1031*^,chr17:82860218-82860396,ZFP57,,,,
ICR_1032*^,chr17:83205454-83205543,ZFP57,,,,
ICR_1033^,chr18:112155-112491,,,,,
ICR_1034,chr18:3602323-3602519,,,,,
ICR_1035^,chr18:10299639-10299935,,,,,
ICR_1036^,chr18:13379767-13380531,,,,,
ICR_1037^,chr18:26568636-26569708,,,,,
ICR_1038,chr18:37258900-37259288,,,,,
ICR_1039,chr18:47526284-47526407,,,,,
ICR_1040,chr18:59969851-59969940,,,,,
ICR_1041,chr18:64002803-64002859,,,,,
ICR_1042^,chr18:76491397-76491450,,,,,
ICR_1043*^,chr18:76787372-76787964,,,,,
ICR_1044,chr18:78877346-78877514,,,,,
ICR_1045*^,chr18:79404293-79404545,,,,,
ICR_1046,chr18:79532208-79532443,ZFP57,,,,
ICR_1047^,chr18:79532583-79532746,ZFP57,,,,
ICR_1048^,chr18:79616752-79617334,,,,,
ICR_1049,chr18:79617513-79617608,,,,,
ICR_1050,chr18:79617770-79617815,,,,,
ICR_1051,chr18:79638645-79638833,,,,,
ICR_1052^,chr18:80147168-80147833,,,,,
ICR_1053^,chr18:80147992-80149033,,,,,
ICR_1054*^,chr19:386289-386791,,,,,
ICR_1055^,chr19:676877-677125,,,,,
ICR_1056,chr19:853408-853490,,,,,
ICR_1057^,chr19:1453910-1454194,,,,,
ICR_1058,chr19:1504102-1504336,,,,,
ICR_1059,chr19:1510721-1510814,,,,,
ICR_1060^,chr19:1542614-1542750,,,,,
ICR_1061,chr19:1691185-1691357,,,,,
ICR_1062,chr19:1779885-1780102,,,,,
ICR_1063,chr19:2041793-2041938,,,,,
ICR_1064^,chr19:2097444-2097551,,,,,
ICR_1065^,chr19:2271480-2271693,,,,,
ICR_1066*^,chr19:2639359-2639532,,,,,
ICR_1067*,chr19:2749064-2749211,,,,,
ICR_1068^,chr19:3006289-3006627,ZFP57,,,,
ICR_1069,chr19:3314581-3314748,,,,,
ICR_1070^,chr19:3366518-3366556,,,,,
ICR_1071^,chr19:3375239-3375520,,,,,
ICR_1072^,chr19:3403800-3403966,,,,,
ICR_1073,chr19:3789254-3789767,,,,,
ICR_1074,chr19:4194879-4195135,,,,,
ICR_1075*^,chr19:4414819-4415739,,,,,
ICR_1076*^,chr19:6018852-6019122,,,,,
ICR_1077,chr19:6461119-6461350,,,,,
ICR_1078^,chr19:6489483-6490032,,,,,
ICR_1079,chr19:6509209-6509630,,,,,
ICR_1080,chr19:6677833-6677968,,,,,
ICR_1081*^,chr19:7004363-7004710,,,,,
ICR_1082^,chr19:7646033-7646285,,,,,
ICR_1083,chr19:7863802-7864121,ZFP57,,,,
ICR_1084,chr19:7872627-7872688,,,,,
ICR_1085,chr19:9912721-9912951,,,,,
ICR_1086*^,chr19:9953808-9954321,,,,,
ICR_1087*,chr19:12873531-12873750,,ZFP445,,,
ICR_1088,chr19:13087918-13088184,,,,,
ICR_1089^,chr19:13298916-13299037,ZFP57,,,,
ICR_1090,chr19:13623856-13623948,,,,,
ICR_1091*^,chr19:14061704-14062308,,,,,
ICR_1092,chr19:15471897-15472161,,,,,
ICR_1093,chr19:15777135-15778369,,,,,
ICR_1094,chr19:15862822-15863176,,,,,
ICR_1095,chr19:15940417-15941089,,,,,
ICR_1096^,chr19:16895886-16895902,,,,,
ICR_1097*^,chr19:18439087-18439864,,,,,
ICR_1098,chr19:18777223-18778158,,ZFP445,,,
ICR_1099*,chr19:19120808-19121015,,,,,
ICR_1100^,chr19:19514692-19514749,ZFP57,,,,
ICR_1101*^,chr19:19997705-19997967,,,,,
ICR_1102,chr19:20237400-20237572,,,,,
ICR_1103^,chr19:21568786-21569830,,,,,
ICR_1104*,chr19:21678108-21678334,,,,,
ICR_1105,chr19:22517560-22518023,,,,,
ICR_1106^,chr19:29269046-29269583,,,,,
ICR_1107^,chr19:29662034-29662704,,,,,
ICR_1108^,chr19:30253854-30254259,,,,,
ICR_1109^,chr19:33298571-33298842,,,,,
ICR_1110^,chr19:35703212-35703486,,,,,
ICR_1111,chr19:37403622-37403742,,,,,
ICR_1112^,chr19:37468518-37468666,,,,,
ICR_1113*,chr19:39875820-39875935,,,,,
ICR_1114,chr19:39892075-39892180,,,,,
ICR_1115,chr19:39915214-39915303,,,,,
ICR_1116^,chr19:40489767-40490020,,,,,
ICR_1117^,chr19:41226761-41226873,,,,,
ICR_1118,chr19:41515217-41515351,,,,,
ICR_1119,chr19:41644120-41644151,,,,,
ICR_1120,chr19:43406341-43406626,,,,,
ICR_1121^,chr19:45450882-45450913,,,,,
ICR_1122,chr19:46270331-46270412,,,,,
ICR_1123,chr19:47601136-47601199,ZFP57,,,,
ICR_1124^,chr19:48195063-48195219,,,,,
ICR_1125,chr19:48895257-48895520,,ZFP445,,,
ICR_1126,chr19:49719462-49719568,,,,,
ICR_1127,chr19:49889832-49889898,ZFP57,,,,
ICR_1128^,chr19:50458698-50458780,,,,,
ICR_1129,chr19:50489534-50489611,,,,,
ICR_1130*^,chr19:50870491-50870617,,,,,
ICR_1131,chr19:50949976-50950140,,,,,
ICR_1132*^,chr19:51002710-51003017,,,,,
ICR_1133*^,chr19:51132331-51132649,ZFP57,,,,
ICR_1134^,chr19:51271035-51271265,,,,,
ICR_1135*^,chr19:53537445-53538957,,,,,
