ID,Genomic Coordinates,Parental Origin of Methylation,Nearest Transcript,Distance to Nearest Transcript
ICR_471^,chr7:73345069-73346101,P**,FKBP6,0
ICR_472,chr7:76047075-76047217,M**,STYXL1,0
ICR_473^,chr7:76150206-76150703,,GTF2IP7,41444
ICR_474*^,chr7:76499727-76499956,M,DTX2,0
ICR_475*^,chr7:94656360-94658647,M,PEG10,0
ICR_476,chr7:100482861-100482979,,NYAP1,948
ICR_477*^,chr7:102441702-102441973,,ORAI2,0
ICR_478^,chr7:103146271-103147608,,NAPEPLD,0
ICR_479,chr7:108003883-108003977,M**,LAMB1,707
ICR_480^,chr7:127587705-127587806,,ARF5,605
ICR_481*^#,chr7:130490640-130494200,M,MEST|MESTIT1,0
ICR_482^,chr7:132436227-132436368,P**,PLXNA4,0
ICR_483^,chr7:137753320-137753978,P**,DGKI,0
ICR_484^,chr7:138664218-138664771,,SVOPL,0
ICR_485,chr7:143511187-143511662,,OR10AC1,0
ICR_486^,chr7:149191062-149191272,,ZNF282,4223
ICR_487^,chr7:150111840-150112171,M,ACTR3C,0
ICR_488,chr7:152553885-152553929,M**,RPS20P19,36622
ICR_489,chr7:152910856-152911190,P,ACTR3B,0
ICR_490*^,chr7:154892532-154892702,M,DPP6,0
ICR_491,chr7:155071148-155071376,M,HTR5A,0
ICR_492,chr7:155383638-155384080,P,BLACE,15705
ICR_493,chr7:155796475-155796717,,SHH,3263
ICR_494,chr7:156942573-156942686,,NOM1,7026
ICR_495^,chr7:156948793-156948844,,NOM1,868
ICR_496^,chr7:157613781-157614069,,PTPRN2,0
ICR_497,chr7:158164299-158164379,,PTPRN2,0
ICR_498*^,chr7:158973581-158973792,,WDR60,14886
ICR_499^,chr7:158996856-158997515,,LINC00689,10839
ICR_500,chr7:159112595-159112828,M,VIPR2,0
ICR_501,chr8:266760-266871,,ZNF596,19420
ICR_502,chr8:828261-828821,,DLGAP2,0
ICR_503,chr8:882678-883012,M,DLGAP2,0
ICR_504*^,chr8:947055-947158,,DLGAP2,0
ICR_505^,chr8:1373020-1373561,M,DLGAP2,0
ICR_506*^,chr8:1548800-1548981,M,DLGAP2,0
ICR_507,chr8:1816612-1816668,,MIR596,563
ICR_508^,chr8:2727637-2727760,M,CSMD1,207593
ICR_509,chr8:6835991-6836189,,XKR5,467
ICR_510,chr8:8703090-8703190,M,CLDN23,0
ICR_511*^,chr8:10726381-10726606,,SOX7,0
ICR_512,chr8:12537464-12537632,,ENPP7P6,26186
ICR_513,chr8:16944318-16944618,P**,FGF20,47563
ICR_514,chr8:17248325-17248464,,VPS37A,0
ICR_515,chr8:22118860-22119045,P,HR,0
ICR_516,chr8:22696910-22697886,P,EGR3,3430
ICR_517,chr8:27451272-27451531,P**,PTK2B,0
ICR_518*^,chr8:27472461-27472768,P,CHRNA2,0
ICR_519,chr8:27592886-27593135,,EPHX2,0
ICR_520^,chr8:29401757-29402242,,DUSP4,51073
ICR_521*^,chr8:30913081-30913176,,TEX15,73
ICR_522^,chr8:37699369-37699633,M,ZNF703,0
ICR_523^,chr8:37747687-37748265,M,ERLIN2,0
ICR_524,chr8:38383668-38383854,,LETM2,0
ICR_525,chr8:43489686-43491049,,SNX18P27,22594
ICR_526,chr8:43815675-43816549,,CYP4F44P,274748
ICR_527,chr8:46918223-46918380,M**,MAPK6P4,52948
ICR_528^,chr8:47763160-47763510,,PRKDC,9601
ICR_529,chr8:53712396-53712494,,ATP6V1H,3049
ICR_530,chr8:54469228-54469434,,SOX17,8336
ICR_531^,chr8:56117670-56117858,,MOS,3688
ICR_532,chr8:57142945-57143502,,RNA5SP266,16183
ICR_533,chr8:57280020-57280373,P**,LINC00588,0
ICR_534*^,chr8:60713942-60714366,M,CHD7,0
ICR_535^,chr8:65166236-65166399,,LINC00251,0
ICR_536^,chr8:69690060-69690369,,SLCO5A1,0
ICR_537^,chr8:72074820-72075145,,TRPA1,0
ICR_538*^,chr8:92627659-92628162,,FLJ46284,84800
ICR_539*^,chr8:94119578-94120523,M,CDH17,6639
ICR_540^,chr8:101108707-101109141,,RN7SKP249,28818
ICR_541*^,chr8:101277219-101278202,P,LINC02844,14243
ICR_542*^,chr8:102528555-102528786,P,ODF1,22803
ICR_543^,chr8:104367348-104367629,,DCSTAMP,10474
ICR_544^,chr8:108139804-108140486,,AURKBP1,7621
ICR_545,chr8:110202766-110202966,,RPSAP48,96802
ICR_546^,chr8:122721576-122721969,P**,LINC01151,27470
ICR_547*^,chr8:135457371-135457395,M**,KHDRBS3,61
ICR_548*^,chr8:140098048-140100981,M,TRAPPC9|PEG13,0
ICR_549,chr8:140349279-140349564,M,TRAPPC9,0
ICR_550,chr8:141723822-141724064,P,MROH5,216592
ICR_551*^,chr8:142700449-142700581,,LY6K,0
ICR_552*^,chr8:143276904-143277146,M**,GLI4,0
ICR_553,chr8:143399766-143399977,P,RHPN1,15545
ICR_554,chr8:143420516-143420723,,MAFA,7341
ICR_555^,chr8:143728031-143728348,M,FAM83H,0
ICR_556,chr8:143772211-143772259,,IQANK1,0
ICR_557*^,chr8:143934133-143934333,P**,PLEC,0
ICR_558^,chr8:144429035-144429244,,TONSL,0
ICR_559^,chr9:9557059-9558061,,PTPRD,0
ICR_560^,chr9:20658358-20658783,,FOCAD,0
ICR_561^,chr9:21997429-22000964,P,CDKN2B,1939
ICR_562*^,chr9:35036051-35036291,M,C9orf131,4804
ICR_563,chr9:37800197-37800386,M,DCAF10,168
ICR_564,chr9:38487573-38487989,M,TCEA1P3,8029
ICR_565,chr9:38526772-38526937,,FAM220BP,0
ICR_566,chr9:40106359-40106534,,C2orf27AP3,15424
ICR_567,chr9:40584159-40584282,,AQP7P5,85135
ICR_568,chr9:40584494-40584535,,AQP7P5,85470
ICR_569,chr9:41237465-41237605,,RNA5SP530,0
ICR_570,chr9:41267302-41267410,M,PTGER4P1,12049
ICR_571,chr9:41273436-41273534,,PTGER4P1,5925
ICR_572,chr9:42725366-42725715,,CNTNAP3P7,27028
ICR_573,chr9:43310884-43310973,,GXYLT1P5,334643
ICR_574,chr9:43312148-43312374,,GXYLT1P5,335907
ICR_575,chr9:61634706-61634830,,RN7SL722P,154313
ICR_576^,chr9:62830466-62830683,,PTGER4P2,13106
ICR_577,chr9:62833773-62833859,,PTGER4P2,9930
ICR_578,chr9:62844696-62844981,M,CDK2AP2P2,0
ICR_579,chr9:62915277-62915432,,CNTNAP3P1,9478
ICR_580,chr9:63703993-63704066,,MYO5BP3,57279
ICR_581,chr9:63705422-63705648,,MYO5BP3,55697
ICR_582,chr9:63758459-63759888,,MYO5BP3,1457
ICR_583,chr9:63781885-63782006,,PTGER4P3,5608
ICR_584,chr9:63783945-63784110,,PTGER4P3,7668
ICR_585*,chr9:63784657-63784765,,PTGER4P3,8380
ICR_586,chr9:63816391-63816562,M**,LINC00537,0
ICR_587^,chr9:63816764-63816827,,LINC00537,0
ICR_588,chr9:63871753-63873362,,FRG1JP,12119
ICR_589,chr9:63874323-63875499,,FRG1JP,14689
ICR_590,chr9:64015992-64016150,,FLJ43315,800
ICR_591,chr9:64072047-64072115,,SOWAHCP4,1821
ICR_592,chr9:65385432-65385641,,CBWD4P,64150
ICR_593,chr9:65566060-65566418,,CBWD5,99956
ICR_594,chr9:66198551-66198816,,MEP1AP3,9455
ICR_595,chr9:66266929-66267052,,MEP1AP3,77833
ICR_596,chr9:66270138-66270217,,MEP1AP3,81042
ICR_597,chr9:67720383-67720553,,FAM27E3,1204
ICR_598^,chr9:84272060-84272363,M,SLC28A3,760
ICR_599^,chr9:85077205-85077528,,NTRK2,50135
ICR_600,chr9:87944657-87944766,M,SPATA31C1,21000
ICR_601^,chr9:89282235-89282503,M,CKS2,28692
ICR_602,chr9:89859835-89860135,P**,UNQ6494,140076
ICR_603^,chr9:95313103-95313511,M,FANCC,0
ICR_604*^,chr9:96177087-96177730,P,EIF4BP3,29122
ICR_605,chr9:105519837-105519944,M**,FSD1L|RALGAPA1P1,0
ICR_606*^,chr9:107738565-107738693,,RN7SL659P,72923
ICR_607^,chr9:110172756-110173053,,PALM2AKAP2,244
ICR_608,chr9:113062954-113063358,,ZFP37,6230
ICR_609*^,chr9:117642714-117642890,M,RPL35AP22,42368
ICR_610*,chr9:120843544-120843654,M**,CUTALP,0
ICR_611^,chr9:121305691-121305944,,GSN,0
ICR_612,chr9:123356551-123356966,,CRB2,0
ICR_613,chr9:124453066-124453097,,ADGRD2,0
ICR_614,chr9:126206071-126206408,,MVB12B,120421
ICR_615^,chr9:127897741-127897833,,ST6GALNAC6,0
ICR_616^,chr9:128415922-128416668,P,CERCAM,0
ICR_617,chr9:130327055-130327332,P,HMCN2,0
ICR_618^,chr9:131681863-131682453,,RAPGEF1,0
ICR_619*^,chr9:133656561-133656899,,DBH,0
ICR_620^,chr9:134626633-134626781,P,COL5A1,15008
ICR_621^,chr9:134800924-134801207,,COL5A1,0
ICR_622*^,chr9:135253830-135253970,,C9orf62,89279
ICR_623,chr9:135605044-135605311,P,PAEPP1,13151
ICR_624,chr9:135718080-135718453,,KCNT1,0
ICR_625^,chr9:136656981-136657090,P,HSPC324|EGFL7,0
ICR_626,chr9:137145779-137145957,P,GRIN1,0
ICR_627^,chr9:137306698-137307023,P,EXD3,0
ICR_628,chr9:137388287-137388459,,EXD3,0
ICR_629,chr9:138220832-138220984,,FAM157B,0
ICR_630*^,chr10:789268-789465,P,LARP4B,17449
ICR_631*^,chr10:1297781-1298190,P**,ADARB2,0
ICR_632,chr10:1363307-1363351,,ADARB2,0
ICR_633^,chr10:5645451-5645631,P,ASB13,0
ICR_634,chr10:6891176-6891381,,LINC00707,48270
ICR_635^,chr10:7438568-7438955,P**,LINC02642,26679
ICR_636^,chr10:7533053-7533508,,ITIH5,25762
ICR_637^,chr10:8296350-8296684,,LINC00708,28045
ICR_638^,chr10:13158505-13158697,,BTBD7P1,262
ICR_639^,chr10:14588077-14588478,,FAM107B,0
ICR_640^,chr10:18261294-18261435,M,CACNB2,0
ICR_641^,chr10:24519852-24520359,M,KIAA1217,0
ICR_642^,chr10:26946192-26946511,,ANKRD26,0
ICR_643*^,chr10:27413523-27414477,M,PTCHD3,0
ICR_644^,chr10:28326170-28327001,P,ZNF101P1,12276
ICR_645^,chr10:30431646-30431844,,MAP3K8,2177
ICR_646,chr10:38727852-38728509,,CHEK2P5,8470
ICR_647,chr10:38786641-38786908,,CHEK2P5,67259
ICR_648,chr10:38942427-38942486,,CHEK2P5,223045
ICR_649,chr10:38942778-38942877,,CHEK2P5,223396
ICR_650,chr10:42118216-42121531,,KSR1P1,27788
ICR_651,chr10:42149862-42149921,,KSR1P1,131
ICR_652,chr10:42151841-42153075,,KSR1P1,2110
ICR_653,chr10:42241615-42241757,,PABPC1P8,37772
ICR_654^,chr10:43078143-43078252,,RET,0
ICR_655,chr10:43689371-43689485,,ZNF32,40490
ICR_656^,chr10:43910440-43910803,,LINC02659|LINC00841,0
ICR_657*^,chr10:45249637-45250053,,CUBNP2,2323
ICR_658,chr10:45600493-45600614,,MARCHF8,5587
ICR_659,chr10:61867420-61867672,M**,LINC02625,0
ICR_660*^,chr10:61867799-61868187,,LINC02625,0
ICR_661^,chr10:64924402-64924675,,LINC02671,0
ICR_662,chr10:66927121-66927439,P**,CTNNA3|LRRTM3,0
ICR_663^,chr10:68526085-68526595,,SLC25A16,0
ICR_664^,chr10:71266448-71266685,P,UNC5B,0
ICR_665^,chr10:71279400-71279528,P,UNC5B,0
ICR_666^,chr10:78356394-78357287,P,LINC00595,76181
ICR_667^,chr10:80136121-80136538,P,PLAC9,0
ICR_668,chr10:86388993-86389094,,GRID1,22198
ICR_669*^,chr10:91745083-91745329,,FAF2P1,20373
ICR_670,chr10:92592233-92592408,,KIF11,722
ICR_671,chr10:93065339-93065536,,CYP26C1,0
ICR_672*,chr10:95230515-95230706,,ACSM6,1586
ICR_673,chr10:97578444-97578664,M**,ANKRD2,0
ICR_674^,chr10:97974158-97974573,M,CRTAC1,0
ICR_675,chr10:100669022-100669173,P,PAX2,66223
ICR_676,chr10:102409678-102409976,M**,PSD,0
ICR_677,chr10:102433070-102433216,M**,CUEDC2,496
ICR_678,chr10:103585098-103585172,P**,NEURL1,0
ICR_679,chr10:104275410-104275792,M,GSTO2,0
ICR_680*^,chr10:116809589-116809702,,HSPA12A,0
ICR_681*^,chr10:119817943-119819030,M,INPP5F,0
ICR_682^,chr10:124589490-124589769,,LHPP,0
ICR_683*,chr10:125370442-125370643,,RPS27P18,103036
ICR_684,chr10:125773898-125774247,,MMP21,0
ICR_685^,chr10:125896694-125896736,,FANK1,0
ICR_686*^,chr10:126882020-126882047,P,DOCK1,23362
ICR_687^,chr10:127911380-127911781,P,PTPRE,0
ICR_688,chr10:129833441-129834121,P**,EBF3,1112
ICR_689^,chr10:130301062-130301272,M,LINC02646,0
ICR_690,chr10:131884686-131885233,,PPP2R2D,15701
ICR_691,chr10:132044138-132044430,P**,JAKMIP3,0
ICR_692^,chr10:132965246-132965501,,LINC01166,0
ICR_693,chr10:133099321-133099567,P,ADGRA1,0
ICR_694,chr10:133246176-133246423,P,MIR202HG,56
ICR_695,chr10:133569810-133570081,,SPRNP1,0
ICR_696,chr10:133622471-133622653,,FRG2B,1242
ICR_697,chr10:133655010-133656362,,CLUHP5,3917
ICR_698,chr10:133666076-133666119,,DUX4L28,970
ICR_699,chr10:133675112-133675277,,DUX4L23,0
ICR_700,chr10:133682103-133682144,,DUX4L21,210
ICR_701,chr10:133685048-133685212,,DUX4L20,0
ICR_702,chr10:133689257-133690164,,DUX4L20,4065
ICR_703,chr10:133740759-133740834,M,DUX4L29,0
ICR_704,chr10:133743836-133743911,,DUX4L10,0
ICR_705,chr10:133749234-133749385,,DUX4L12,564
ICR_706,chr10:133750697-133750793,,DUX4L12,0
ICR_707^,chr11:369961-370051,,B4GALNT4,0
ICR_708*^,chr11:396655-396870,P,PKP3,0
ICR_709*^,chr11:397385-397461,P,PKP3,0
ICR_710^,chr11:400577-400771,,PKP3,0
ICR_711,chr11:420604-420662,M,ANO9,0
ICR_712,chr11:424776-424992,,ANO9,0
ICR_713,chr11:425254-425347,,ANO9,0
ICR_714^,chr11:859644-859722,,TSPAN4,0
ICR_715*,chr11:1453511-1453601,,BRSK2,0
ICR_716*^#,chr11:1997886-1999417,P,MRPL23|H19,0
ICR_717*^#,chr11:1999793-2000383,P,MRPL23|H19,0
ICR_718*^#,chr11:2000487-2001247,P,MRPL23|H19,0
ICR_719*^#,chr11:2001655-2003118,P,MRPL23,0
ICR_720*^#,chr11:2698157-2699485,M,KCNQ1|KCNQ1OT1,0
ICR_721*^#,chr11:2699814-2701210,M,KCNQ1|KCNQ1OT1,0
ICR_722,chr11:2870172-2870432,,KCNQ1DN,0
ICR_723,chr11:3513882-3514062,M**,SNRPCP5,17323
ICR_724*^,chr11:7088963-7089048,M,NLRP14|RBMXL2,0
ICR_725,chr11:8262180-8262286,M**,LMO1,0
ICR_726^,chr11:14259048-14259382,M,SPON1,0
ICR_727,chr11:15651003-15651264,,LINC02751,46834
ICR_728^,chr11:18107798-18107979,M**,HIGD1AP5,757
ICR_729*^,chr11:18455848-18455995,,LDHAL6A,0
ICR_730,chr11:44328419-44329478,P,ALX4,18280
ICR_731,chr11:49050003-49050137,,TRIM64C,3577
ICR_732,chr11:49851833-49852120,M**,TRIM51FP,12503
ICR_733,chr11:55580528-55582100,,OR4C16,7468
ICR_734,chr11:58963346-58963429,,GLYATL1,6272
ICR_735,chr11:59063032-59063174,,GLYATL1P4,11013
ICR_736^,chr11:60907137-60907586,M**,PRPF19,552
ICR_737*^,chr11:62371153-62371400,M,ASRGL1,0
ICR_738^,chr11:64714283-64714884,,NRXN2,0
ICR_739,chr11:67607613-67607749,,NDUFV1,0
ICR_740*^,chr11:68755017-68755448,,CPT1A,0
ICR_741^,chr11:77040373-77040529,M**,B3GNT6,0
ICR_742^,chr11:77588835-77589141,M**,AQP11,494
ICR_743,chr11:78196833-78196990,M**,USP35,0
ICR_744*^,chr11:96341424-96341836,,MAML2|MIR1260B,0
ICR_745,chr11:96410805-96411284,P**,JRKL,17244
ICR_746*^,chr11:102808050-102808297,,WTAPP1|CSNK1A1P2,0
ICR_747*^,chr11:110209077-110209353,,RDX,0
ICR_748,chr11:116459010-116459314,,LINC02702,180108
ICR_749,chr11:118721380-118721604,,DDX6,26159
ICR_750*^,chr11:119475095-119475642,P**,DUXAP5,29541
ICR_751*^,chr11:119942219-119942412,P,LINC02744,45533
ICR_752*^,chr11:119982974-119983610,P,LINC02744,4335
ICR_753*^,chr11:122556794-122557198,M**,GLULP3,56128
ICR_754*^,chr11:128451854-128452036,,ETS1,6725
ICR_755^,chr11:132792676-132793068,M,OPCML,0
ICR_756,chr11:133081840-133082221,M,OPCML,0
ICR_757,chr11:133222318-133222823,P,OPCML,0
ICR_758^,chr11:134466582-134466996,,B3GAT1,54340
ICR_759^,chr11:134851895-134852132,,LINC02714,88084
ICR_760*^,chr12:199250-199841,,SLC6A12,0
ICR_761*^,chr12:3420937-3421557,,PRMT8,0
ICR_762^,chr12:7639803-7640300,,APOBEC1,9100
ICR_763^,chr12:8227098-8227983,,FAM90A1|ALG1L10P,0
ICR_764,chr12:9943209-9943571,,LINC02470,0
ICR_765,chr12:24562721-24562763,,SOX5,20
ICR_766^,chr12:31119107-31120320,M**,OVOS2,0
ICR_767,chr12:31120459-31120874,M,OVOS2,0
ICR_768,chr12:34331950-34332139,,AK6P1,81685
ICR_769^,chr12:34336036-34336101,,AK6P1,85771
ICR_770,chr12:34342777-34342848,,AK6P1,92512
ICR_771^,chr12:34346704-34346757,M**,AK6P1,96439
ICR_772,chr12:34353479-34353547,,AK6P1,103214
ICR_773,chr12:34354541-34354645,M**,AK6P1,104276
ICR_774,chr12:34374083-34374112,,AK6P1,123818
ICR_775,chr12:34602003-34602191,,AK6P1,351738
ICR_776,chr12:37323065-37323465,,ZNF970P,251878
ICR_777,chr12:37568772-37569243,,ZNF970P,6100
ICR_778*^,chr12:38053778-38053848,,AK6P2,24331
ICR_779,chr12:49543394-49543481,P,KCNH3,0
ICR_780,chr12:51888213-51888322,,ANKRD33,0
ICR_781^,chr12:52193633-52194445,,KRT80,1619
ICR_782,chr12:52321080-52321266,M,KRT83,0
ICR_783,chr12:54133068-54133783,P**,SMUG1,0
ICR_784*^,chr12:55996580-55996638,M,RAB5B|SUOX,0
ICR_785,chr12:67719459-67719604,,LINC02421,0
ICR_786^,chr12:76319989-76320071,,RN7SKP172,3941
ICR_787^,chr12:79710741-79711075,,PAWR,19644
ICR_788*,chr12:80513006-80513314,,PTPRQ,0
ICR_789^,chr12:92503489-92504056,P,LINC02397,19542
ICR_790^,chr12:93894577-93894889,,CRADD,0
ICR_791^,chr12:94261976-94262639,,PLXNC1,0
ICR_792^,chr12:104506679-104507259,P**,CHST11,0
ICR_793*,chr12:108768488-108768569,,CORO1C,8533
ICR_794^,chr12:110247427-110248050,,IFT81,28634
ICR_795,chr12:110501049-110501164,M,VPS29,0
ICR_796,chr12:111037275-111037366,M**,CUX2,0
ICR_797^,chr12:113766062-113766194,,LINC01234,0
ICR_798,chr12:118106392-118106759,,VSIG10,1990
ICR_799^,chr12:124259431-124259804,P,RFLNA,29360
ICR_800*^,chr12:124369462-124369821,,NCOR2,0
ICR_801^,chr12:124423210-124423379,P**,NCOR2,0
ICR_802^,chr12:124759333-124759536,P,SCARB1,17320
ICR_803^,chr12:125314148-125314524,,TMEM132B,0
ICR_804^,chr12:130337933-130338027,,PIWIL1,0
ICR_805^,chr12:130686671-130687021,,RIMBP2,0
ICR_806^,chr12:131928302-131928452,M**,PUS1,816
ICR_807*,chr12:132436944-132437228,P,MUC8,34343
ICR_808,chr12:132514078-132514147,P**,FBRSL1,0
ICR_809,chr12:132603392-132603498,M,LRCOL1,0
ICR_810,chr13:16211038-16211596,,TERF1P5,1.00E+08
ICR_811,chr13:18662579-18665131,,FEM1AP4,0
ICR_812,chr13:19382308-19382395,,PARP4P2|CCNQP3,0
ICR_813,chr13:20129221-20129276,,GJA3,8976
ICR_814,chr13:20142811-20142911,M,GJA3,0
ICR_815,chr13:20394546-20394785,,CRYL1,8882
ICR_816,chr13:20415400-20415596,,CRYL1,0
ICR_817*,chr13:20436022-20436118,,CRYL1,0
ICR_818*^,chr13:21242471-21243094,P,LINC01046,7267
ICR_819*,chr13:22735653-22735791,M**,DDX39AP1,29441
ICR_820,chr13:22736379-22736701,,DDX39AP1,30167
ICR_821,chr13:23945647-23946368,M**,ANKRD20A19P,0
ICR_822,chr13:24637783-24637864,,TPTE2P6,40107
ICR_823^,chr13:26187178-26187354,,RNF6,0
ICR_824,chr13:46437983-46438129,,PPP1R2P4,0
ICR_825,chr13:48317373-48317679,M,RB1|PPP1R26P1,0
ICR_826#,chr13:48317894-48321417,M,RB1|PPP1R26P1,0
ICR_827*^,chr13:60267612-60268519,M,LINC00434,0
ICR_828*^,chr13:80140976-80141757,,LINC01080,114313
ICR_829^,chr13:80654682-80655272,M,PWWP2AP1,125
ICR_830^,chr13:98977628-98977816,,DOCK9,0
ICR_831^,chr13:100521893-100522472,,PCCA,0
ICR_832^,chr13:106490937-106491301,,EFNB2,0
ICR_833*^,chr13:109869774-109870166,M**,RN7SKP10,44930
ICR_834,chr13:110813152-110813255,M**,LINC00567,68
ICR_835,chr13:110813578-110813640,M,LINC00567,494
ICR_836,chr13:111411595-111411773,M,TEX29,67347
ICR_837^,chr13:113050720-113050828,,MCF2L,0
ICR_838^,chr13:113729641-113730537,P,GRK1,0
ICR_839*,chr13:113802775-113802965,,TMEM255B,0
ICR_840,chr13:113937749-113938169,P**,LINC00565,8758
ICR_841,chr13:114198821-114199079,,CFAP97D2,0
ICR_842,chr13:114199531-114199617,M**,CFAP97D2,0
ICR_843*,chr13:114199984-114200221,M**,CFAP97D2,0
ICR_844,chr14:18561725-18562488,M**,OR11H12,38629
ICR_845,chr14:19729937-19732258,,OR11K2P,1087
ICR_846^,chr14:20624009-20624207,M**,RPS26P9,7018
ICR_847*^,chr14:20660009-20660687,,OR6S1,18318
ICR_848,chr14:23048045-23048114,M**,CDH24,0
ICR_849*^,chr14:24331724-24331907,,ADCY4,0
ICR_850^,chr14:24335544-24336183,P**,RIPK3,0
ICR_851*^,chr14:30690552-30690699,,SCFD1,0
ICR_852^,chr14:32484787-32484965,,AKAP6|MTCO1P2,0
ICR_853,chr14:33799786-33799948,M,NPAS3,0
ICR_854,chr14:35825391-35825732,M,BRMS1L,0
ICR_855,chr14:53976837-53976954,M**,ATP5F1CP1,13977
ICR_856^,chr14:54804852-54805123,,SAMD4A,11537
ICR_857^,chr14:59965739-59965861,,LRRC9,0
ICR_858,chr14:70360209-70360280,,COX16,526
ICR_859^,chr14:74265554-74265792,P,VSX2,2816
ICR_860*^,chr14:75429703-75430673,,JDP2,0
ICR_861,chr14:90525537-90525570,,TTC7B,0
ICR_862^,chr14:93036164-93036693,,ITPK1,0
ICR_863,chr14:95714543-95714740,,TCL1A,388
ICR_864,chr14:96392817-96392937,M**,AK7,0
ICR_865,chr14:96423656-96423802,,AK7|PEBP1P1,0
ICR_866^,chr14:96588928-96589205,P,PAPOLA,21812
ICR_867^,chr14:98831018-98831612,,C14orf177,113252
ICR_868^,chr14:98913707-98914385,,RPL3P4,58438
ICR_869^,chr14:100714137-100714444,P,DLK1,12421
ICR_870,chr14:100810233-100810638,,MIR2392,3853
ICR_871^,chr14:100810929-100811087,P,MIR2392,3404
ICR_872^,chr14:100824152-100824410,,MEG3,1698
ICR_873*^#,chr14:100824556-100828242,S,MEG3,0
ICR_874,chr14:103928394-103928494,,TDRD9,0
ICR_875*^,chr14:104171069-104171501,M,KIF26A,0
ICR_876^,chr14:104461608-104461664,,CEND1P1,9774
ICR_877,chr14:104473963-104474087,,CEND1P1,22129
ICR_878^,chr14:105060530-105060974,P,GPR132,0
ICR_879,chr14:105628650-105629100,P,IGH,0
ICR_880,chr14:106650086-106650799,,IGH,0
ICR_881,chr14:106797964-106799288,,IGH,0
ICR_882,chr15:19891502-19892733,,FAM30B,117430
ICR_883,chr15:20148130-20148185,,BMS1P15,5591
ICR_884,chr15:20416866-20418250,,HERC2P3,0
ICR_885^,chr15:21282115-21282897,,NBEAP4,21952
ICR_886,chr15:23561842-23563087,,MIR4508,0
ICR_887^#,chr15:23647239-23648622,,MAGEL2,0
ICR_888#,chr15:23686523-23686574,,NDN,0
ICR_889,chr15:23758904-23759277,,NDN,71599
ICR_890,chr15:23860773-23861094,M**,PWRN4,114053
ICR_891,chr15:23897271-23897645,,PWRN4,77502
ICR_892^,chr15:24877837-24878217,,SNHG14|SNRPN,0
ICR_893*^,chr15:24954592-24956828,M,SNHG14|SNRPN|SNURF,0
ICR_894,chr15:26670350-26670605,,GABRB3,0
ICR_895^,chr15:28993177-28993653,P**,APBA2,0
ICR_896,chr15:31484287-31484332,,OTUD7A,0
ICR_897^,chr15:33256985-33257103,,TMCO5B,9430
ICR_898*^,chr15:40769605-40770075,P,DNAJC17|C15orf62,0
ICR_899^,chr15:47196694-47197259,,SEMA6D,0
ICR_900^,chr15:52112006-52112086,,BCL2L10,0
ICR_901^,chr15:53830756-53831316,,UNC13C,6257
ICR_902^,chr15:56007034-56007264,,CNOT6LP1,0
ICR_903,chr15:65076997-65077172,,KBTBD13,0
ICR_904*,chr15:65077525-65077598,,KBTBD13,0
ICR_905^,chr15:65949315-65949942,,MEGF11,0
ICR_906*^,chr15:66763320-66763575,,SMAD6,0
ICR_907^,chr15:66877196-66878321,P,LINC02206,53216
ICR_908^,chr15:68930446-68930772,,NOX5|SPESP1,0
ICR_909^,chr15:70605464-70606129,P,SALRNA3,9418
ICR_910,chr15:88241807-88242028,,NTRK3,0
ICR_911,chr15:88741939-88742055,,ACAN,61381
ICR_912^,chr15:95287058-95287471,P,LINC01197,0
ICR_913^,chr15:98865375-98866277,M,IGF1R,0
ICR_914^,chr15:99476322-99476786,P,LINC02244,73869
ICR_915,chr15:99806120-99806200,,DNM1P46,0
ICR_916,chr15:100544247-100544786,,CERS3,0
ICR_917,chr16:159416-159850,P,HBZP1,3217
ICR_918,chr16:561123-561328,,PRR35,0
ICR_919,chr16:801561-801834,P,GNG13,827
ICR_920,chr16:817208-818000,M,PRR25,3347
ICR_921^,chr16:1043980-1044213,P,SSTR5,28543
ICR_922^,chr16:2038931-2039033,P**,SLC9A3R2,0
ICR_923*^,chr16:2798432-2798680,,PRSS41,0
ICR_924,chr16:3107245-3107593,M**,ZNF205,4986
ICR_925,chr16:3254352-3254557,,MEFV,0
ICR_926^,chr16:3431819-3432009,M,ZNF597,405
ICR_927*^,chr16:3443280-3444094,,ZNF597|NAA60,0
ICR_928,chr16:5490312-5490585,M,RBFOX1,0
ICR_929^,chr16:9154539-9154720,,RPL21P119,1622
ICR_930*,chr16:14990248-14990306,M,PDXDC1,0
ICR_931^,chr16:17364420-17365021,,XYLT1,0
ICR_932,chr16:27306120-27306581,,IL4R,7087
ICR_933*^,chr16:27327462-27327798,,IL4R,0
ICR_934,chr16:31224220-31224409,M**,TRIM72,0
ICR_935,chr16:31428164-31428239,M**,COX6A2,0
ICR_936*,chr16:32066244-32066336,,HERC2P4,103707
ICR_937,chr16:32084126-32084430,,HERC2P4,85613
ICR_938,chr16:32187478-32187763,M**,HERC2P4,0
ICR_939^,chr16:32188159-32188300,,HERC2P4,46
ICR_940^,chr16:32310484-32310555,,TP53TG3D,54556
ICR_941,chr16:32523621-32525336,,ABCD1P3,47814
ICR_942,chr16:32846754-32846827,M**,BCAP31P2,23156
ICR_943,chr16:33026905-33027302,,HERC2P8,67730
ICR_944^,chr16:33516787-33516835,,TP53TG3F,54529
ICR_945,chr16:33680828-33680944,,BMS1P8,2223
